"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","（旧：山古志村）","","809","400","409"
"2020年","（旧：川口町）","","4,087","1,975","2,112"
"2020年","（旧：小国町）","","4,742","2,290","2,452"
"2020年","三条市","","94,642","45,815","48,827"
"2020年","（旧：三条市）","","75,958","36,744","39,214"
"2020年","（旧：下田村）","","8,505","4,116","4,389"
"2020年","（旧：栄町）","","10,179","4,955","5,224"
"2020年","柏崎市","","81,526","40,556","40,970"
"2020年","（旧：柏崎市）","","75,424","37,585","37,839"
"2020年","（旧：高柳町）","","1,187","563","624"
"2020年","（旧：西山町）","","4,915","2,408","2,507"
"2020年","新発田市","","94,927","45,963","48,964"
"2020年","（旧：新発田市）","","74,126","35,989","38,137"
"2020年","（旧：豊浦町）","","8,546","4,012","4,534"
"2020年","（旧：加治川村）","","5,683","2,768","2,915"
"2020年","（旧：紫雲寺町）","","6,572","3,194","3,378"
"2020年","小千谷市","","34,096","16,830","17,266"
"2020年","加茂市","","25,441","12,406","13,035"
"2020年","十日町市","","49,820","24,339","25,481"
"2020年","（旧：十日町市）","","34,646","16,955","17,691"
"2020年","（旧：川西町）","","5,873","2,907","2,966"
"2020年","（旧：中里村）","","4,659","2,273","2,386"
"2020年","（旧：松代町）","","2,816","1,344","1,472"
"2020年","（旧：松之山町）","","1,826","860","966"
"2020年","見附市","","39,237","19,050","20,187"
"2020年","村上市","","57,418","27,474","29,944"
"2020年","（旧：村上市）","","26,024","12,462","13,562"
"2020年","（旧：荒川町）","","9,585","4,622","4,963"
"2020年","（旧：神林村）","","8,133","3,894","4,239"
"2020年","（旧：朝日村）","","8,604","4,160","4,444"
"2020年","（旧：山北町）","","5,072","2,336","2,736"
"2020年","燕市","","77,201","37,629","39,572"
"2020年","（旧：燕市）","","41,315","20,222","21,093"
"2020年","（旧：分水町）","","13,046","6,334","6,712"
"2020年","（旧：吉田町）","","22,840","11,073","11,767"
"2020年","糸魚川市","","40,765","20,068","20,697"
"2020年","（旧：糸魚川市）","","25,491","12,613","12,878"
"2020年","（旧：能生町）","","7,733","3,809","3,924"
"2020年","（旧：青海町）","","7,541","3,646","3,895"
"2020年","妙高市","","30,383","14,740","15,643"
"2020年","（旧：新井市）","","22,846","11,080","11,766"
"2020年","（旧：妙高高原町）","","4,159","1,994","2,165"
"2020年","（旧：妙高村）","","3,378","1,666","1,712"
"2020年","五泉市","","47,625","22,890","24,735"
"2020年","（旧：五泉市）","","32,200","15,510","16,690"
"2020年","（旧：村松町）","","15,425","7,380","8,045"
"2020年","上越市","","188,047","91,929","96,118"
"2020年","（旧：上越市）","","129,454","63,356","66,098"
"2020年","（旧：安塚町）","","2,069","983","1,086"
"2020年","（旧：浦川原村）","","3,111","1,520","1,591"
"2020年","（旧：大島村）","","1,289","603","686"
"2020年","（旧：牧村）","","1,629","784","845"
"2020年","（旧：柿崎町）","","8,901","4,301","4,600"
"2020年","（旧：大潟町）","","9,096","4,494","4,602"
"2020年","（旧：頸城村）","","9,176","4,514","4,662"
"2020年","（旧：吉川町）","","3,669","1,757","1,912"
"2020年","（旧：中郷村）","","3,390","1,648","1,742"
"2020年","（旧：板倉町）","","6,248","3,025","3,223"
"2020年","（旧：清里村）","","2,453","1,236","1,217"
"2020年","（旧：三和村）","","5,218","2,567","2,651"
"2020年","（旧：名立町）","","2,344","1,141","1,203"
"2020年","阿賀野市","","40,696","19,570","21,126"
"2020年","（旧：安田町）","","8,932","4,267","4,665"
"2020年","（旧：京ヶ瀬村）","","6,821","3,368","3,453"
"2020年","（旧：水原町）","","18,059","8,597","9,462"
"2020年","（旧：笹神村）","","6,884","3,338","3,546"
"2020年","佐渡市","","51,492","24,881","26,611"
"2020年","（旧：両津市）","","11,572","5,550","6,022"
"2020年","（旧：相川町）","","5,809","2,819","2,990"
"2020年","（旧：佐和田町）","","8,308","4,082","4,226"
"2020年","（旧：金井町）","","6,172","2,981","3,191"
"2020年","（旧：新穂村）","","3,396","1,668","1,728"
"2020年","（旧：畑野町）","","4,034","1,904","2,130"
"2020年","（旧：真野町）","","4,443","2,104","2,339"
"2020年","（旧：小木町）","","2,583","1,267","1,316"
"2020年","（旧：羽茂町）","","3,063","1,455","1,608"
"2020年","（旧：赤泊村）","","2,112","1,051","1,061"
"2020年","魚沼市","","34,483","16,802","17,681"
"2020年","（旧：堀之内町）","","7,229","3,548","3,681"
"2020年","（旧：小出町）","","10,647","5,153","5,494"
"2020年","（旧：湯之谷村）","","5,565","2,683","2,882"
"2020年","（旧：広神村）","","6,878","3,347","3,531"
"2020年","（旧：守門村）","","3,072","1,527","1,545"
"2020年","（旧：入広瀬村）","","1,092","544","548"
"2020年","南魚沼市","","54,851","26,777","28,074"
"2020年","（旧：塩沢町）","","16,762","8,253","8,509"
"2020年","（旧：六日町）","","24,746","12,104","12,642"
"2020年","（旧：大和町）","","13,343","6,420","6,923"
"2020年","胎内市","","28,509","13,959","14,550"
"2020年","（旧：中条町）","","23,755","11,696","12,059"
"2020年","（旧：黒川村）","","4,754","2,263","2,491"
"2020年","聖籠町","","14,259","7,172","7,087"
"2020年","弥彦村","","7,705","3,733","3,972"
"2020年","田上町","","11,227","5,395","5,832"
"2020年","阿賀町","","9,965","4,825","5,140"
"2020年","（旧：津川町）","","3,441","1,674","1,767"
"2020年","（旧：鹿瀬町）","","1,590","756","834"
"2020年","（旧：上川村）","","2,063","1,018","1,045"
"2020年","（旧：三川村）","","2,871","1,377","1,494"
"2020年","出雲崎町","","4,113","1,978","2,135"
"2020年","湯沢町","","7,767","3,946","3,821"
"2020年","津南町","","8,989","4,322","4,667"
"2020年","刈羽村","","4,380","2,244","2,136"
"2020年","関川村","","5,144","2,444","2,700"
"2020年","粟島浦村","","353","181","172"
"2020年","富山県","","1,034,814","502,637","532,177"
"2020年","富山市","","413,938","202,281","211,657"
"2020年","（旧：富山市）","","321,666","157,218","164,448"
"2020年","（旧：大沢野町）","","21,000","10,279","10,721"
"2020年","（旧：大山町）","","9,321","4,532","4,789"
"2020年","（旧：八尾町）","","18,673","9,111","9,562"
"2020年","（旧：婦中町）","","40,803","19,924","20,879"
"2020年","（旧：山田村）","","1,297","635","662"
"2020年","（旧：細入村）","","1,178","582","596"
"2020年","高岡市","","166,393","80,482","85,911"
"2020年","（旧：高岡市）","","154,218","74,592","79,626"
"2020年","（旧：福岡町）","","12,175","5,890","6,285"
"2020年","魚津市","","40,535","19,729","20,806"
"2020年","氷見市","","43,950","20,883","23,067"
"2020年","滑川市","","32,349","15,750","16,599"
"2020年","黒部市","","39,638","19,514","20,124"
"2020年","（旧：黒部市）","","34,945","17,240","17,705"
"2020年","（旧：宇奈月町）","","4,693","2,274","2,419"
"2020年","砺波市","","48,154","23,419","24,735"
"2020年","（旧：砺波市）","","42,606","20,788","21,818"
"2020年","（旧：庄川町）","","5,548","2,631","2,917"
"2020年","小矢部市","","28,983","13,991","14,992"
"2020年","南砺市","","47,937","22,940","24,997"
"2020年","（旧：城端町）","","8,071","3,824","4,247"
"2020年","（旧：平村）","","847","397","450"
"2020年","（旧：上平村）","","585","265","320"
"2020年","（旧：利賀村）","","465","252","213"
"2020年","（旧：井波町）","","7,855","3,696","4,159"
"2020年","（旧：井口村）","","1,076","537","539"
"2020年","（旧：福野町）","","13,011","6,312","6,699"
"2020年","（旧：福光町）","","16,027","7,657","8,370"
"2020年","射水市","","90,742","44,253","46,489"
"2020年","（旧：新湊市）","","31,685","15,454","16,231"
"2020年","（旧：小杉町）","","33,919","16,764","17,155"
"2020年","（旧：大門町）","","12,443","6,031","6,412"
"2020年","（旧：下村）","","1,719","829","890"
"2020年","（旧：大島町）","","10,976","5,175","5,801"
"2020年","舟橋村","","3,132","1,521","1,611"
"2020年","上市町","","19,351","9,255","10,096"
"2020年","立山町","","24,792","12,002","12,790"
"2020年","入善町","","23,839","11,385","12,454"
"2020年","朝日町","","11,081","5,232","5,849"
"2020年","石川県","","1,132,526","549,771","582,755"
"2020年","金沢市","","463,254","224,549","238,705"
"2020年","七尾市","","50,300","23,970","26,330"
"2020年","（旧：七尾市）","","38,191","18,330","19,861"
"2020年","（旧：田鶴浜町）","","4,523","2,105","2,418"
"2020年","（旧：中島町）","","5,115","2,380","2,735"
"2020年","（旧：能登島町）","","2,471","1,155","1,316"
"2020年","小松市","","106,216","52,182","54,034"
"2020年","輪島市","","24,608","11,714","12,894"
"2020年","（旧：輪島市）","","19,686","9,488","10,198"
"2020年","（旧：門前町）","","4,922","2,226","2,696"
"2020年","珠洲市","","12,929","5,933","6,996"
"2020年","加賀市","","63,220","29,939","33,281"
"2020年","（旧：加賀市）","","56,172","26,661","29,511"
"2020年","（旧：山中町）","","7,048","3,278","3,770"
"2020年","羽咋市","","20,407","9,669","10,738"
"2020年","かほく市","","34,889","16,875","18,014"
"2020年","（旧：高松町）","","9,855","4,660","5,195"
"2020年","（旧：七塚町）","","12,411","6,048","6,363"
"2020年","（旧：宇ノ気町）","","12,623","6,167","6,456"
"2020年","白山市","","110,408","53,670","56,738"
"2020年","（旧：松任市）","","70,626","34,514","36,112"
"2020年","（旧：美川町）","","11,923","5,701","6,222"
"2020年","（旧：鶴来町）","","22,699","11,004","11,695"
"2020年","（旧：河内村）","","917","429","488"
"2020年","（旧：吉野谷村）","","941","438","503"
"2020年","（旧：鳥越村）","","2,272","1,082","1,190"
"2020年","（旧：尾口村）","","362","170","192"
"2020年","（旧：白峰村）","","668","332","336"
"2020年","能美市","","48,523","24,129","24,394"
"2020年","（旧：根上町）","","15,756","7,740","8,016"
"2020年","（旧：寺井町）","","17,078","8,323","8,755"
"2020年","（旧：辰口町）","","15,689","8,066","7,623"
"2020年","野々市市","","57,238","29,550","27,688"
"2020年","（旧：野々市町）","","57,238","29,550","27,688"
"2020年","川北町","","6,135","3,030","3,105"
"2020年","津幡町","","36,957","18,044","18,913"
"2020年","内灘町","","26,574","12,774","13,800"
"2020年","志賀町","","18,630","8,878","9,752"
"2020年","（旧：富来町）","","6,088","2,789","3,299"
"2020年","（旧：志賀町）","","12,542","6,089","6,453"
"2020年","宝達志水町","","12,121","5,718","6,403"
"2020年","（旧：志雄町）","","5,337","2,532","2,805"
"2020年","（旧：押水町）","","6,784","3,186","3,598"
"2020年","中能登町","","16,540","7,977","8,563"
"2020年","（旧：鳥屋町）","","5,031","2,463","2,568"
"2020年","（旧：鹿島町）","","7,521","3,642","3,879"
"2020年","（旧：鹿西町）","","3,988","1,872","2,116"
"2020年","穴水町","","7,890","3,793","4,097"
"2020年","（旧：穴水町）","","7,890","3,793","4,097"
"2020年","能登町","","15,687","7,377","8,310"
"2020年","（旧：能都町）","","7,410","3,442","3,968"
"2020年","（旧：柳田村）","","3,124","1,463","1,661"
"2020年","（旧：内浦町）","","5,153","2,472","2,681"
"2020年","福井県","","766,863","373,973","392,890"
"2020年","福井市","","262,328","127,867","134,461"
"2020年","（旧：福井市）","","248,707","121,334","127,373"
"2020年","（旧：美山町）","","3,656","1,756","1,900"
"2020年","（旧：越廼村）","","1,054","497","557"
"2020年","（旧：清水町）","","8,911","4,280","4,631"
"2020年","敦賀市","","64,264","31,785","32,479"
"2020年","小浜市","","28,991","14,317","14,674"
"2020年","大野市","","31,286","14,997","16,289"
"2020年","（旧：大野市）","","30,695","14,614","16,081"
"2020年","（旧：和泉村）","","591","383","208"
"2020年","勝山市","","22,150","10,581","11,569"
"2020年","鯖江市","","68,302","33,323","34,979"
"2020年","あわら市","","27,524","13,067","14,457"
"2020年","（旧：芦原町）","","11,259","5,302","5,957"
"2020年","（旧：金津町）","","16,265","7,765","8,500"
"2020年","越前市","","80,611","39,657","40,954"
"2020年","（旧：武生市）","","69,778","34,398","35,380"
"2020年","（旧：今立町）","","10,833","5,259","5,574"
"2020年","坂井市","","88,481","42,719","45,762"
"2020年","（旧：三国町）","","20,176","9,731","10,445"
"2020年","（旧：丸岡町）","","30,728","14,971","15,757"
"2020年","（旧：春江町）","","25,152","12,150","13,002"
"2020年","（旧：坂井町）","","12,425","5,867","6,558"
"2020年","永平寺町","","18,965","9,231","9,734"
"2020年","（旧：松岡町）","","10,927","5,332","5,595"
"2020年","（旧：永平寺町）","","5,266","2,610","2,656"
"2020年","（旧：上志比村）","","2,772","1,289","1,483"
"2020年","池田町","","2,423","1,196","1,227"
"2020年","南越前町","","10,002","4,804","5,198"
"2020年","（旧：南条町）","","5,075","2,464","2,611"
"2020年","（旧：今庄町）","","3,433","1,626","1,807"
